Q14942930	Wikimedia subject-area collaboration
Q104942911	law of China
Q336751	mechanism that actuates the firing sequence of a firearm, airgun, crossbow, or speargun
Q380639	American record producer and DJ
Q40858	fossil fuel
Q6009893	Wikimedia category
Q889659	items with economic value found in natural deposits underground
Q4861768	British film editor
Q6526950	Wikimedia category
Q16960681	Wikimedia history article
Q110079	type of checkerboard used in the board game chess
Q8735917	Wikimedia category
Q19757797	album by Major Lazer
Q331769	relatively long lasting emotional, internal and subjective state
Q10663	Wikimedia category
Q481289	residence of heads of state, head of government, governor, religious leader, leaders of international organizations, or other equivalent figure
Q7014224	Wikimedia category
Q44235	when the Moon passes directly behind the Earth
Q7012309	Wikimedia category
Q3410750	skin condition caused by several species of fleas
Q102231	flower of the Rosa genus of plants
Q8292831	Chinese politician
Q231486	Wikimedia disambiguation page
Q125928	change in the statistical distribution of weather patterns for an extended period, not necessarily current or recent
Q55785588	human disease
Q1200511	type of administrative entity in Nordic countries
Q240313	artillery unit size designation
Q7253814	Wikimedia module
Q5611149	Wikimedia category
Q221836	device producing a burst of artificial light
Q97656499	a single question within a survey
Q21680663	person who composes classical music
Q217595	publishing arm of the University of Oxford
Q6163581	Wikimedia category
Q1666679	Wikimedia disambiguation page
Q514	study of the structure and parts of organisms
Q146701	transparent structure in the eye
Q8909938	Wikimedia category
Q1145381	musical composition type
Q65924765	family name
Q81240	seventh book of the Bible
Q11651	flow of electric charge (for specific quantities see Q29996 or Q234072)
Q208002	1954 book by J. R. R. Tolkien
Q20376438	Wikimedia template
Q3044304	demographics of country
Q3348804	overview of and topical guide to India
Q2074836	additional tire carried in a motor vehicle as a replacement for one that goes flat, a blowout, or other emergency
Q7140799	Wikimedia category
Q744346	musical note
Q72070508	set of molecular entities that shares a common characteristic
Q2851133	French politician, mayor of Paris
Q11019	tool containing one or more parts that uses energy to perform an intended action
Q110628325	2022 video game
Q7214152	Wikimedia category
Q178359	liquid, creaming or semi-solid food served on or used in preparing other foods
Q1185988	demographics of country
Q3387717	person overseeing the mounting of a theatre production
Q9532521	Wikimedia category
Q11421	material or object that produces a magnetic field
Q11241599	Wikimedia portal
Q58093	monetary unit in many national currencies
Q112965645	clinical symptom or sign as a first-order metaclass. To be used as P31 values for all symptoms or signs classes. Its instances are classes (e. g. sneezing or coughing)
Q7216063	Wikimedia category
Q8791224	Wikimedia category
Q8910667	Wikimedia category
Q3246517	realm below the surface of water
Q169207	prejudicial treatment based on membership of a certain group
Q3106841	American independent record label
Q8286060	Wikimedia category
Q11797520	Wikimedia disambiguation page
Q59349761	water treated to remove all dissolved salts, neutral solutes and colloidal impurities in suspension and containing only H2O molecules
Q550147	single ice crystal or an aggregation of ice crystals which falls through the Earth's atmosphere
Q592866	position
Q104674	highest mountain of Great Britain
Q108193	inverse of the electric conductivity
Q6470788	Wikimedia category
Q947686	decorative or functional diffuser placed over the light source of a lamp fixture
Q1192478	process of starting a fire artificially
Q196	fruit of the cherry tree
Q7915726	pricing strategy that relies on information exchange between buyers and sellers to set prices
Q1244442	individual buildings or groups of buildings designed or used as places of instruction
Q4104783	Wikimedia category
Q11451	cultivation of life forms for food, fiber, biofuel and other products used to sustain life
Q9300723	Wikimedia category
Q641159	head of government presiding over the Berlin Senate in Germany
Q47191720	French art director
Q8291894	Governor of Liaoning province
Q20725820	culture of the country of Tuvalu
Q27686	business enterprise that provides lodging in a single building paid on a short-term basis
Q23830577	category in the Filmiroda rating system
Q5283970	Fish species categorized by various characteristics
Q43867072	term in sports; used when a sports team loses possession of the ball to the opposing team without scoring
Q9606	long, thin, tubular structure made up of nervous tissue
Q45961	large language family of Asia
Q39784218	family name
Q101998	distinct biological communities that have formed in response to a shared physical climate
Q7112191	overview of and topical guide to Australia
Q1450662	body exerting the executive power in France
Q6688407	Wikimedia template
Q3749263	machine powered by electricity
Q366371	The Smashing Pumpkins album
Q34132	surface formed by the points at a fixed distance from a given straight line called the axis of the cylinder; one of the most basic curvilinear geometric shapes
Q8084570	Wikimedia template
Q76768	garment for the upper body
Q8915686	Wikimedia category
Q1458498	Wikimedia category
Q7217946	Wikimedia template
Q843920	land capable of being ploughed and used to grow crops
Q6608774	Wikimedia category
Q986291	object comprised of fibers woven in a grid-like structure
Q188055	military blockade of a city or fortress
Q617224	damaging, gradual removal or deformation of material at solid surfaces
Q8719507	Wikimedia category
Q6334588	Wikimedia category
Q2657718	encyclopedia
Q5671946	overview of and topical guide to painting
Q19829510	substance or energy source damaging to the environment
Q11998	Australian singer, songwriter and actress
Q77468620	scientific terminology; language used in the field of psychology
Q878624	type of rice porridge or gruel popular in many Asian countries
Q4167836	use with 'instance of' (P31) for Wikimedia category
Q35127	set of related web pages served from a single web domain
Q3942870	Wikimedia list article
Q6451276	report issued by the Congressional Research Service, a public policy research arm of the United States Congress
Q213710	UK international record label; imprint of Apple Corps Ltd.
Q6284739	Wikimedia category
Q5601440	album by Béla Fleck and the Flecktones
Q63982911	classification of museums by type
Q193837	private room where people usually sleep for the night or relax during the day
Q1068755	process whereby a person announces their arrival at a hotel, hospital, event, airport or sea port
Q1250916	person specializing in combat or warfare
Q6715512	Wikimedia disambiguation page
Q88665	German electrical engineer and businessman, father of Albert Einstein
Q42177	piece of furniture used as a place to sleep or relax
Q1038017	species of plant
Q133492	written message from one to another
Q1784733	literary genre
Q472760	aged collectible item
Q494958	county in Wisconsin, United States
Q23595	middle point of an object in geometry
Q9606827	variety of plants
Q38592	writing script for many Indian and Nepalese languages
Q60346683	painting by Suzanne Valadon
Q8736666	Wikimedia category
Q270389	person who presents news during a news program
Q16513426	result of deliberation
Q3295350	Swedish cinematographer
Q36993249	act of arranging items in some orderly way
Q17723	genre of Western music (c. 1730–1820)
Q192666	old forest in Poland and Belarus
Q1263816	concept in chemistry that has different, but similar, meanings if referred to a single pure substance or a mixture
Q1404150	landform made of solid rock
Q8066197	Wikimedia category
Q546003	peer-reviewed medical journal
Q693148	Code of Nomenclature
Q296955	type of slow-drying paint that consists of particles of pigment suspended in a drying oil
Q2366457	office within an organization
Q8607398	Wikimedia category
Q3200265	serving of chopped ingredients formed into a disc
Q10297022	Wikimedia portal
Q5203615	diatomic molecule
Q22830847	Wikimedia template
Q464282	American comic strip and comic book writer (1914-1974)
Q105740334	Wikimedia category
Q13649246	situation which involves imperfect and/or unknown information, regarding the existing state, environment, a future outcome or more than one possible outcomes
Q500674	county in Kentucky, United States
Q7082091	Wikimedia category
Q197	powered fixed-wing aircraft
Q5636579	Wikimedia template
Q52635615	Wikimedia category
Q7879772	region of the Solar System comprising of Mercury, Venus, Earth and Mars with natural satellites, as well as the main-belt asteroids
Q1418287	liquid food produced by female goats
Q360083	Wikimedia disambiguation page
Q8628113	Wikimedia category
Q6076781	Wikimedia category
Q16148419	English publisher and businessman
Q3220391	online platform that facilitates the building of social relations
Q8255	Wikimedia category
Q5834964	preserve made from the juice and peel of citrus fruits
Q5334416	application of physics to the study of the atmosphere
Q185351	legal scholar or academic, a professional who studies, teaches, and develops law
Q1153471	dark sky in the deep twilight or at night
Q1123266	US record label; rock and alternative American record label in the 1980s
Q683705	most populous metropolitan area in the United States
Q213369	comic published online
Q20926517	religious administration over a geographic area
Q1457474	Wikimedia category
Q1641220	transition from wakefulness to sleep, the hypnagogic state of consciousness
Q11410	structured form of play
Q56133040	fashion category of clothing produced by hand or machine knitting
Q318028	artillery projectile
Q1204348	person ruled over by another (typically used for citizens in a monarchy)
Q898312	systems with external interactions
Q2105114	unit of measurement
Q7112682	overview of and topical guide to machines
Q269415	delivery method of media content
Q211198	group of people who participate in a show or encounter a work of art
Q29149990	character set in which each character corresponds to a unique number
Q4547615	emergency telephone number
Q7215652	Wikimedia category
Q855431	subdistrict of the People's Republic of China
Q8612023	Wikimedia category
Q13644563	Wikimedia list article
Q15444185	American cinematographer
Q273976	effort to cut off supplies from a particular area by force
Q21062414	aspect ratio with a width of 2.35 units and height of 1 unit
Q64048964	person creating folk art
Q47195191	nonmetal atom
Q150117	ratio
Q30007162	quality of lacking in odor detectable by the nose
Q2366155	chemical compound involving ionic bonding
Q110273237	subdivision of a legislative text
Q685433	person whose job it is to sell things
Q1152241	textile weave in which weft threads pass over one and under two or more threads of the warp, producing a diagonal rib or pattern
Q134574	device that moves fluids (liquids or gases) by mechanical action
Q8389977	Wikimedia category
Q7152651	Wikimedia category
Q11315	small complex of shops
Q21175322	hazardous chemical exposure
Q16203020	American country music songwriter and producer
Q1048835	region accepted to be in the jurisdiction of a particular government entity
Q190872	part of a plant
Q6294036	Wikimedia category
Q109513287	Species of snake
Q277626	American record label
Q11422	object intended to be played with
Q2831	American singer, songwriter, and dancer (1958–2009)
Q161916	American actor and screenwriter
Q110551885	vertebrate animals in which the young are nourished with milk from special mammary glands of the mother
Q795464	Brazil, South Africa, India and China in climate change negotiations
Q2361332	Governor of Fujian province
Q98665879	branch of the Smithsonian Libraries that serves the research mission of the Smithsonian American Art Museum, the National Portrait Gallery, and the Archives of American Art. Located in Washington D.C.
Q4838188	Australian band
Q482994	collection of audio recordings
Q40260	membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated
Q1513352	form of addiction that involves a compulsion to engage in a rewarding non-drug-related behavior despite any negative consequences to the person's physical, mental, social or financial well-being
Q416331	chemical compound
Q84099072	Wikimedia category
Q43302	the conversion of wind energy into a useful form
Q356031	Gardening technique
Q29256	system where only the inputs and outputs can be viewed, and not its implementation
Q103312200	print by Artist Unknown
Q194582	Wikimedia list article
Q8446696	Wikimedia category
Q8358730	Wikimedia category
Q5879948	Wikimedia template
Q28470725	Wikimedia category
Q16153609	overview of and topical guide to Ontario
Q104555	tool used to draw or measure distances along a straight line
Q9068103	Wikimedia category
Q219400	American film studio
Q7071117	Wikimedia category
Q31014655	Wikimedia category
Q1410688	Wikimedia category
Q1050483	French World Heritage Site
Q1365641	amount of money that remains in a deposit account
Q25415291	album by Maria Peszek
Q66741662	difficulty level
Q28555919	Wikimedia portal
Q7569	human between the stages of birth and puberty
Q178024	paste used in cooking
Q49822	censure used to deprive, suspend, or limit membership in a religious community
Q15990152	British screenwriter
Q29053744	form of water
Q1410828	Wikimedia category
Q39297	quantity of three-dimensional space
Q2638480	religious organization or congregation
Q45190	hydraulic binder used in the composition of mortar and concrete
Q3966720	heraldic figure
Q5743744	Wikimedia category
Q14859963	the process whose specific outcome is the progression of the cell over time, from its formation to the mature structure; cell development does not include the steps involved in committing a cell to a specific fate
Q66724591	language is not English
Q4671286	focus of academic study
Q481832	Italian-American actress
Q3324393	veins on the back of the hand
Q1718317	romantic pairing from the Star Trek media franchise involving the main characters James T. Kirk and Spock
Q3409199	head of state of the Democratic Republic of the Congo
Q386275	development of a website for the Internet
Q1071027	set of names by which an individual is known
Q7112497	overview of and topical guide to Tuvalu
Q52040	family of languages which includes standard German
Q1378949	component of a telephone that a user holds to the ear and mouth
Q839078	head of government for Canada
Q278061	removal of water or another solvent by evaporation
Q3308028	American film producer
Q505628	type of surface in three dimensions
Q2657097	line of the Hangzhou Metro
Q3573026	a cake, or flatbread
Q80071	something that represents an idea, a process, or a physical entity
Q7216532	Wikimedia category
Q2353731	type of education
Q55632764	American television drama series
Q894231	short, stiff fiber, either natural or artificial, on an organism or tool
Q18738326	Wikimedia category
Q18185	standardized measurement of academic performance
Q8521437	Wikimedia category
Q1408429	solid material that can be burnt to release energy
Q7317240	Wikimedia category
Q28732982	category of the JMK film classification system
Q13377214	plant material (mainly plant leaves and stems) eaten by grazing livestock
Q5642502	Wikimedia template
Q746984	study of interactions between travellers and infrastructure
Q588964	correct determiners
Q251649	free personal web server to run a node of the Diaspora social network
Q185521	value indicating the relation of a proposition to truth
Q7112548	overview of and topical guide to agriculture
Q2460422	type of lodging
Q1051792	psychological test of intelligence
Q6832146	Wikimedia category
Q230541	Wikimedia disambiguation page
Q1665268	instruction that carries a legal duty to obey
Q62766	American rapper and businessman from New York (born 1969)
Q5898492	Wikimedia template
Q6505626	Wikimedia category
Q26899865	person who is reading/read/has read a text
Q2699311	musician playing snare drum (tambori) in a military band
Q1845	collection of sacred books in Judaism and Christianity
Q7237889	Wikimedia category
Q190578	passenger car in a three-box configuration
Q836575	way of preventing mistakes or defects in manufactured products and avoiding problems when delivering solutions or services to customers; (ISO 9000) part of quality management focused on providing confidence that quality requirements will be fulfilled
Q29642950	software library for the Python programming language
Q8411701	Wikimedia category
Q1756348	grouped set of lines within a poem
Q22808087	Wikimedia category
Q4860368	album by Ron "Bumblefoot" Thal
Q107380751	Python library
Q20198245	Title and award of the European Arboricultural Council
Q3489000	1990 film by David Leland
Q104578437	Wikimedia category
Q23408	Norwegian uninhabited subantarctic volcanic island
Q79871	intense emotional state that sometimes results in combative and destructive actions
Q131105	grammatical case
Q130888	species of fly
Q40348	legal professional who helps clients and represents them in a court of law
Q111694093	research institute at Cornell University
Q47154513	set of compounds sharing a common structural feature to which is attached a variable part (or parts) defining a specific compound of the class
Q719675	IUCN conservation category
Q6454181	Wikimedia template
Q330629	American international record label; primary record label of Sony Music Entertainment
Q170028	act of intentionally propagating beliefs of things that are not true, or not the whole truth
Q3114148	Wikimedia disambiguation page
Q3297477	time zone
Q1650915	person who engages in research, professionally or otherwise
Q16829513	processed material that may be further processed into a final product
Q1797813	animal that is used by the people economically
Q5333743	economy of the region
Q108819314	genre of short pieces of folklore
Q828803	name of a profession
Q15304943	breed of domestic chickens
Q7213891	Wikimedia category
Q4698686	measurement of the amount of air per unit of time that flows through a particular device
Q891723	company that offers its securities for sale to the general public
Q217602	process of applying analytical methods to existing data of a specific type, breaking a complex topic or substance into smaller parts in order to gain a better understanding of it
Q50248112	head of the government of the city of Venice
Q939369	American musician
Q645494	2006 game developed by Game Freak and published by Nintendo for the Nintendo DS
Q9226347	Wikimedia category
Q8289031	Wikimedia portal
Q659563	video game term; categorization of video games
Q1756157	branch of law focused on a specific subject
Q8956112	Wikimedia category
Q11771944	branch of governmental service or employees of a government agency
Q2665615	lake in Hebei, China
Q285726	network administration command-line tool
Q3319130	extinct Eastern Algonquian language
Q1141703	aspect of history
Q2360683	subgenus of mammals
Q11000047	system that consists of all organizations, people and actions whose primary intent is to promote, restore or maintain health
Q107998873	the inverse state of clean
Q5533538	Wikimedia disambiguation page
Q6697267	Wikimedia category
Q146368	synthetic plastic polymer
Q228736	interdisciplinary field which deals with the research, discovery and design of (new) materials; primarily concerned with the application of materials and the engineering, crystallographic, physical and chemical properties of solids
Q6271005	Wikimedia category
Q8416150	A weapon infobox may be used to summarize information about a particular weapon or weapon system (such as a firearm, a sword, a grenade, an artillery piece, a torpedo, or a tank).
Q2867027	course or state of an individual's life
Q62792	large sea snail and its shell
Q3575260	piece of jewellery incorporated into clothing, or worn by itself on the body (typically on a necklace)
Q38033430	class of award (order, medal etc.)
Q1063801	index or textual consolidation of primary and secondary sources
Q346239	Wikimedia disambiguation page
Q13276	baked dessert
Q831990	electrical component, a module or a unit of an electrical system
Q2416562	writer (1908-1970)
Q4418284	Wikimedia category
Q156839	occupation involving cooking food
Q133018	coat of arms
Q7708485	process or technique for working with textile materials
Q207170	collection of productivity programs
Q7204727	Wikimedia category
Q57238	German sociologist, administration expert, and social systems theorist
Q735	the process of creating an expressive work intended to be appreciated for its beauty or emotional power; NOT the resulting work
Q11056665	Wikimedia portal
Q496696	dehydrated milk
Q116635	physicist (1843-1912)
Q8729876	Wikimedia category
Q717314	cooking appliance
Q3382117	transformation due to a chemical reaction
Q13217916	Wikimedia template
Q159846	American film studio, subsidiary of Paramount Global
Q20026824	fiber from fiber plants
Q9420	mental activity involving an individual's subjective consciousness
Q40	country in Central Europe
Q5788646	Norwegian actor
Q68345460	side or face of an item considered to be its primary or front side; side that faces forward
Q1925224	defects in design, process, quality, or part application, which are the underlying cause of a failure or which initiate a process which leads to failure
Q105732602	Wikimedia category
Q8772060	Wikimedia portal
Q7237194	Wikimedia category
Q9072262	Wikimedia category
Q1138664	electrolyte solution for use in healthcare
Q7074747	Wikimedia category
Q54083	Wikimedia category
Q9929081	Wikimedia category
Q961769	fruit, use Q37153 for the species
Q468330	chemist (1777-1838)
Q47494165	set of all positive real numbers
Q14636264	urban village in Bima City, West Nusa Tenggara, Indonesia
Q28039407	family name
Q1151727	river in the People's Republic of China
Q7144129	Wikimedia category
Q1093742	fruit (for Citrus ×limon use Q500)
Q7045794	Wikimedia category
Q9106244	Wikimedia category
Q6959409	Wikimedia category
Q107412	Plant structure. any of the separate parts of the corolla of a flower: often brightly coloured
Q110406476	interdisciplinary field of scholars and practitioners who work collaboratively with organizations and communities to develop their system-wide capacity for effectiveness and vitality
Q1158477	male given name
Q6546433	Live song
Q1224	10th President of Italy
Q841654	contest for a prize or award
Q6460735	eating that takes place at a specific time
Q1455495	Wikimedia category
Q3397775	Wikimedia disambiguation page
Q4689421	1997 single by Mötley Crüe
Q15730346	Japanese voice actor
Q1207969	clinical science of diabetes mellitus
Q21369154	costume accessory worn on or in the hair
Q61071643	storm characterized by the presence of hail
Q29688905	protecting of oneself or others from attack, danger, or injury
Q215760	family of marine mammals
Q7112716	overview of and topical guide to religion
Q3300024	Building materials consisting of naturally occurring substances such as mud, clay, ice and snow.
Q105732042	Wikimedia category
Q47506	computer program that transforms source code into object code
Q622416	boat which is powered by an engine
Q6581072	to be used in "sex or gender" (P21) to indicate that the human subject is a female
Q5896225	Wikimedia template
Q1414813	flag
Q104224742	Wikimedia category
Q174782	open public spaces in cities or towns, usually rectilinear, surrounded by buildings, and often located at the junction of two or more thoroughfares
Q12370	ionic compound composed of cations and anions
Q707824	district of Keelung, Taiwan
Q30875	Irish writer and poet (1854-1900)
Q231002	a legal identification of a person in international law, establishing the person as a subject, a national, of a sovereign state
Q112902505	2000 doctoral thesis by Tae Hoon Kim at Massey University
Q26158	species of plant
Q463281	honor society
Q350134	northern area of the Atlantic ocean
Q8229	writing system used to write most Western and Central European languages
Q2005	high-level programming language
Q8391092	Wikimedia category
Q5372	team sport played on a court with baskets on either end
Q8968597	Wikimedia category
Q84029153	Wikimedia category
Q6942562	academic discipline; execution of music and/or song
Q483352	subgenre of heavy metal
Q522664	French botanist (1638-1715)
Q55691459	database of women artists sponsored by the French Ministry of Culture
Q58198	Turkish politician
Q6156915	Wikimedia category
Q2462658	person whose job is to manage something
Q18844290	Wikimedia category
Q6010	musical delivery involving rhythmic speech
Q83986823	Wikimedia category
Q186083	study of flags
Q62513663	region of the lower limb in animals, extending from the gluteal region to the foot, and including the buttocks, hip and leg
Q6904	county in Catalonia
Q1197685	holiday generally established by law, usually a non-working day for most people
Q166713	predominantly French art movement that developed roughly between 1886 and 1905
Q18612458	Anglican priest
Q6581383	Wikimedia category
Q65375807	clinical trial
Q5478259	constituency of the European Parliament
Q1390	class of arthropods
Q1553864	all of the processes of governing, whether undertaken by a government, market or network, whether over a family, tribe, formal or informal organization or territory and whether through the laws, norms, power or language of an organized society
Q18340655	2014 single by Coldplay
Q309252	state of health and well-being and, more specifically, the ability to perform aspects of sports, occupations and daily activities
Q55738940	class of musical instruments
Q1030034	acronym for "galleries, libraries, archives, and museums" that refers to cultural institutions that have access to knowledge as their mission
Q332533	British Viscount (1733-1800)
Q1587677	head of government and of the Council of Ministers of France
Q7112738	overview of and topical guide to statistics
Q43436	hard object produced within the soft tissue of a living shelled mollusc
Q213576	major river in Northern China
Q19190511	Russian dictionary published in 1911—1916
Q11016	making, modification, usage, and knowledge of tools, machines, techniques, crafts, systems, and methods of organization
Q281460	wind instrument that produces sound by driving pressurized air (called wind) through pipes selected via a keyboard
Q2549042	family name
Q227856	Wikimedia disambiguation page
Q200092	film genre
Q47495874	property of a surface to reflect some light, giving an illusion of depth, with less brightness than a gloss
Q1922067	head of state and of government of Turkey
Q23807345	term referring either to competition in nature or between contestants
Q2090618	reason arguing against a premise, argument, or conclusion; expression of disagreement
Q48631336	episode of Twin Peaks (2017)
Q905661	northern part of Japan
Q1211427	community of students and scholars engaged in higher education and research
Q7167858	watercourse that has water continuously
Q10993933	Wikimedia template
Q13417200	beverage containing dissolved carbon dioxide
Q8835415	Wikimedia category
Q51139288	US standard used by emergency personnel to identify the risks posed by hazardous materials
Q7463334	Wikimedia category
Q223832	autonomous polities that were nominally under British sovereignty
Q6671777	arrangement and organization of interrelated elements in an object or system, or the object or system so organized
Q217127	martial art
Q338057	element with an inverse with respect to a given mathematical operation; element that can 'undo' the effect of another given element
Q1184244	civil wrong
Q63250353	part of a container
Q488659	county in Maryland, United States
Q15972821	Wikimedia category
Q993210	French cinematographer
Q208187	aircraft class designed for air-to-surface warfare
Q2574750	fruit from any variety of citrus tree
Q2526716	Wikimedia list article
Q5763708	Wikimedia category
Q20034664	Wikimedia disambiguation page
Q1421761	Unicode block (U+1D400-1D7FF)
Q18534419	Wikimedia template
Q6448882	Wikimedia category
Q28542133	mount in Shanghai, China
Q858517	study of cultural activity and evolution of traditions over time
Q1991038	mode of locomotion used by bird species (assists birds while feeding, breeding, avoiding predators, and migrating)
Q8792085	Wikimedia category
Q76005	capacity of a material or structure to withstand loads tending to elongate; resists tension (being pulled apart); measured by the maximum stress that a material can withstand while being stretched or pulled before breaking
Q83087	sedimentary rock, chert variety
Q7484511	Wikimedia category
Q7112633	Wikimedia portal
Q1006733	area with vegetation dominated by grasses
Q1623285	area of land immediately adjacent to a building or a group of buildings
Q5881731	Wikimedia list article
Q816335	note whose pitch is not a member of the scale or mode indicated by the most recently applied key signature
Q15686806	member of a senate, usually the upper house of a legislature
Q90091929	Japanese anime television series
Q321674	human settlement in Germany
Q504825	textile in which the warp and weft yarns are looped or knotted at their intersections
Q194290	deficit of total body water
Q7510349	1808 siege during the Peninsular War
Q202174	unitary authority council area in Scotland
Q104600826	Wikimedia category
Q9786798	Wikimedia category
Q97570030	work executed by cutting a figure or design out of a solid material such as stone or wood
Q212238	person employed by a government department or agency
Q7140804	Wikimedia category
Q9066186	Wikimedia category
Q2932246	Wikimedia disambiguation page
Q8065	major adverse event resulting from natural processes of the Earth, which may cause loss of life or property
Q866324	organ found in the dermal layer of the mammalian skin that regulates hair growth
Q6010682	Wikimedia category
Q97672533	teenage male human
Q3307505	degree to which individuals in an animal population tend to associate in social groups and form cooperative societies
Q8458051	Wikimedia category
Q4224	demographics of country
Q186554	family of reptiles
Q12013759	Wikimedia disambiguation page
Q3294449	part of a plate
Q55324092	Wikimedia category
Q3229	subatomic particle with positive charge
Q14819853	acquisition and processing of information by organisms and/or storage and retrieval of this information over time
Q7010889	Wikimedia category
Q2393196	particular psychological characteristic of an individual
Q36180	person who uses written words to communicate ideas and to produce works of literature
Q178795	explosive weapon, concealed under or on the ground
Q1514395	organization for people with a high IQ score
Q84134194	researcher
Q1394363	medical device used for delivering medication into the body via the lungs
Q11020	family of cue sports
Q2516866	person heading a publishing company or who publishes media
Q5419647	1992 single by M People
Q749316	portion of food, often smaller than a regular meal
Q8183	basic unit of phonology
Q7214222	Wikimedia category
Q54989186	psychological condition
Q581985	genus of mammals
Q780687	fundamental legal, social, or ethical principles of freedom or entitlement according to some legal system, social convention, or ethical theory
Q27989963	South Korean band
Q130436	account of past events in the Japanese civilisation
Q28029964	Wikimedia disambiguation page
Q57452	6th President of the Central African Republic
Q105985	system of courts that interprets and applies the law
Q970409	genre of heavy metal music that is stylistically close to the sound of black metal, but whose artists are either directly against the Satanism prevalent in black metal, or promote Christianity in their lyrics and imagery
Q13326610	Wikimedia category
Q15724995	mineral, material
Q88857718	Wikimedia template
Q132345	Prime Minister of Japan from 2006–2007 and 2012–2020
Q8964470	Wikimedia category
Q2357358	1980 studio album by Jon and Vangelis
Q231043	expression granting permission to proceed with a proposal
Q11827455	plant or animal product that can be grown and harvested extensively for profit or subsistence
Q34086	Canadian singer (born 1994)
Q1004	creative work in which images and text convey information such as narratives
Q19538713	1877 Czech encyclopedia edition
Q312657	American animator, cartoon artist, screenwriter, producer, and director of animated films
Q1435365	clothing worn on the upper body
Q836328	profession
Q63683777	Online library of original reviews and notices of 18th and 19th-century English-language works by women
Q9721612	Wikimedia category
Q9005361	Wikimedia category
Q1075	characteristic of visual perception
Q61988110	horse
Q170556	national Seal of Japan
Q949302	class of disorder that affects skin, hair or nails
Q467988	national anthem
Q862597	overall structure or plan of a piece of music
Q754673	Latin alphabet consisting of 26 letters, each having an uppercase and a lowercase form
Q2381698	intercardinal direction
Q8794781	Wikimedia category
Q8726733	Wikimedia category
Q2306091	scientist working in sociology
Q899625	album by John Frusciante
Q83478504	assigning a name to something
Q1005903	the uppermost level of the hierarchy of the Federal Republic of Germany
Q420	branch of science that primarily deals with structure, function, growth, evolution, and distribution of organisms
Q1371819	outline of a strategy for achievement of an objective
Q7001782	Wikimedia category
Q2991162	federal government of Australia
Q19219752	Edition of a German language encyclopaedia
Q105756498	Wikidata metaclass; type of musical group, band or ensemble, defined by genre, by instrumentation, or some other criteria
Q13361286	home video game consoles developed by Microsoft
Q29221	light, flaky pastry
Q133805	study of the patterns, causes, and effects of health and disease conditions
Q2380335	event in which aircraft are used to attack targets on land or at sea
Q6091158	Wikimedia template
Q132911	vertical transport device
Q280658	association football position played near the opponent's goal
Q16630809	water heating household appliance
Q8297956	Chinese politician
Q3009579	branch of life science that deals with the study of cells in terms of structure, function and chemistry
Q11823824	Wikimedia disambiguation page
Q123705	geographically localised community within a larger city, town or suburb
Q964736	long, coarse hair growing on the manes and tails of horses
Q16869114	Wiktionary redirect
Q8345484	Wikimedia category
Q168432	mooring device
Q6082802	Wikimedia portal
Q15615458	Wikimedia disambiguation page
Q502261	lack of audible sound
Q274948	head of government of Japan
Q7457823	Wikimedia category
Q2722041	reddish brown color
Q134205	oral hygiene instrument used to clean the teeth, gums, and tongue
Q1970438	profession that involves the operation of specific equipment or service
Q6015780	Wikimedia category
Q9177432	Wikimedia template
Q1847641	hair grown on the face, usually on the chin, cheeks, and upper lip region; typically a secondary sex characteristic of human males
Q33235516	scientific article
Q20005	single by Linkin Park
Q3181656	encyclopedia
Q7629763	Wikimedia category
Q7163949	Wikimedia category
Q690856	sound made by a telephone to indicate an incoming call, text message or notification.
Q15777	general-purpose programming language
Q2507626	an area of water surrounded by natural or artificial boundaries
Q3910936	verb form
Q339110	German political party in the German Empire with nationalist, social reformist and liberal agenda (1896-1903)
Q4284847	Wikimedia disambiguation page
Q8074	visible mass of liquid droplets or frozen crystals suspended in the atmosphere
Q7011048	Wikimedia category
Q133182	belief in irrational supernatural causality
Q2663172	group of chemical compounds
Q6804564	engineer or scientist working in the field of mechanics
Q10967878	Wikimedia navigational template
Q7115515	Wikimedia category
Q133327	mathematical model combining space and time
Q12033805	manager of logistics
Q1934178	brain structure consisting of a relatively compact cluster of neurons
Q909166	series of animated short films produced by Walt Disney Productions from 1929 to 1939.
Q8579439	Wikimedia category
Q13924	body of water
Q20153	South Korean girl group
Q6118457	Wikimedia category
Q17076830	period of relatively little change in globally averaged surface temperatures
Q34055	Polynesian language spoken in Tuvalu
Q104578261	Wikimedia category
Q16970	building constructed for Christian worship
Q23542284	Wikimedia category
Q15597797	variety of plants
Q317557	church which acts as the religious centre of a parish
Q223557	singular aggregation of substance(s) such as matter or radiation, with overall properties such as mass, position or momentum
Q3325531	1998 single by Hole
Q1920785	people who make up the workforce of an organization, business sector, or economy
Q191936	first row (or period) of the periodic table of the chemical elements
Q104427149	Wikimedia category
Q772547	collective organization of a country's armed military and paramilitary
Q44791900	chemical compound that contains chloride ion
Q3276328	offer, often competitive in nature, to set a price for a product or service
Q19861951	Wikidata metaclass
Q379932	beverage made from the infusion or decoction of herbs, spices, or other plant material in hot water
Q11006251	Wikimedia template
Q7391292	homogeneous mixture of the gaseous substances nitrogen, oxygen, and smaller amounts of other substances; gas mixture present in the Earth's atmosphere
Q7432	one of the basic units of biological classification and a taxonomic rank
